"id"	"Date"	"Mode"	"Price"	"Count"	"Profit"	"DD"	"Comment"
"o#2"	"2016-12-13 11:35:00"	"Sell"	62450	4	0	0	"h ema14"
"s#3"	"2016-12-13 21:30:00"	"Buy"	61757	4	2772	0	"buystop s#2"
"o#4"	"2016-12-14 10:25:00"	"Buy"	61928	4	0	0	"h ema14"
"s#5"	"2016-12-14 12:25:00"	"Sell"	61873	4	-220	0.21	"sellstop s#4"
"o#6"	"2016-12-14 14:20:00"	"Buy"	61969	6	0	0.21	"h ema14"
"s#7"	"2016-12-14 17:35:00"	"Sell"	62319	6	2100	0	"sellstop s#6"
"o#8"	"2016-12-14 18:40:00"	"Buy"	62185	5	0	0	"h ema14"
"s#9"	"2016-12-14 21:55:00"	"Sell"	62622	5	2185	0	"sellstop s#8"
"o#11"	"2016-12-15 10:45:00"	"Sell"	62778	3	0	0	"h ema14"
"o#12"	"2016-12-15 13:30:00"	"Buy"	62670	3	324	0	"undefined"
"o#13"	"2016-12-15 14:10:00"	"Buy"	62696	3	0	0	"h ema14"
"s#14"	"2016-12-15 15:05:00"	"Sell"	62726	3	90	0	"sellstop s#13"
"o#15"	"2016-12-15 15:35:00"	"Buy"	62791	2	0	0	"h ema14"
"s#16"	"2016-12-15 17:10:00"	"Sell"	62919	2	256	0	"sellstop s#15"
"o#19"	"2016-12-16 10:05:00"	"Buy"	62946	4	0	0	"h ema14"
"s#20"	"2016-12-16 11:00:00"	"Sell"	62821	4	-500	0.47	"sellstop s#19"
"o#21"	"2016-12-16 11:05:00"	"Sell"	62772	3	0	0.47	"h ema14"
"s#22"	"2016-12-16 13:55:00"	"Buy"	62779	3	-21	0.48	"buystop s#21"
"o#23"	"2016-12-16 14:05:00"	"Sell"	62773	4	0	0.48	"h ema14"
"o#24"	"2016-12-16 15:35:00"	"Buy"	62671	4	408	0.11	"undefined"
"o#26"	"2016-12-16 16:20:00"	"Sell"	62730	4	0	0.11	"h ema14"
"s#27"	"2016-12-16 17:45:00"	"Buy"	62749	4	-76	0.18	"buystop s#26"
"o#28"	"2016-12-16 18:00:00"	"Buy"	62738	4	0	0.18	"h ema14"
"s#29"	"2016-12-16 18:15:00"	"Sell"	62675	4	-252	0.41	"sellstop s#28"
"o#31"	"2016-12-16 19:45:00"	"Buy"	63360	3	0	0.41	"h ema14"
"o#32"	"2016-12-16 20:20:00"	"Sell"	63495	3	405	0.03	"undefined"
"o#33"	"2016-12-16 21:30:00"	"Sell"	63340	3	0	0.03	"h ema14"
"o#34"	"2016-12-16 22:55:00"	"Buy"	63209	3	393	0	"undefined"
"o#35"	"2016-12-19 10:00:00"	"Sell"	63000	4	0	0	"h ema14"
"o#36"	"2016-12-19 13:30:00"	"Buy"	62885	4	460	0	"undefined"
"o#38"	"2016-12-19 14:45:00"	"Sell"	62930	3	0	0	"h ema14"
"o#39"	"2016-12-19 15:20:00"	"Buy"	62956	3	-78	0.07	"undefined"
"o#40"	"2016-12-19 15:35:00"	"Buy"	63025	6	0	0.07	"h ema14"
"s#41"	"2016-12-19 16:00:00"	"Sell"	62949	6	-456	0.49	"sellstop s#40"
"o#42"	"2016-12-19 16:15:00"	"Buy"	62995	5	0	0.49	"h ema14"
"o#43"	"2016-12-19 16:55:00"	"Sell"	62993	5	-10	0.5	"undefined"
"o#44"	"2016-12-19 17:25:00"	"Sell"	62880	5	0	0.5	"h ema14"
"s#45"	"2016-12-19 17:35:00"	"Buy"	62940	5	-300	0.78	"buystop s#44"
"o#46"	"2016-12-19 17:35:00"	"Sell"	62919	5	0	0.78	"h ema14"
"s#47"	"2016-12-19 19:00:00"	"Buy"	62907	5	60	0.72	"buystop s#46"
"o#48"	"2016-12-19 19:20:00"	"Buy"	63075	2	0	0.72	"h ema14"
"o#49"	"2016-12-19 19:35:00"	"Buy"	63025	2	0	0.72	"h ema14"
"s#50"	"2016-12-19 20:15:00"	"Sell"	62992	4	-232	0.94	"sellprofit s#48"
"o#51"	"2016-12-19 21:30:00"	"Sell"	63028	4	0	0.94	"h ema14"
"s#52"	"2016-12-20 10:00:00"	"Buy"	63079	4	-204	1.13	"buystop s#51"
"o#53"	"2016-12-20 10:10:00"	"Sell"	62906	5	0	1.13	"h ema14"
"s#54"	"2016-12-20 11:55:00"	"Buy"	62834	5	360	0.79	"buystop s#53"
"o#56"	"2016-12-20 12:50:00"	"Sell"	62758	3	0	0.79	"h ema14"
"o#57"	"2016-12-20 14:45:00"	"Buy"	62680	3	234	0.58	"undefined"
"o#59"	"2016-12-20 16:15:00"	"Sell"	62679	3	0	0.58	"h ema14"
"s#60"	"2016-12-20 19:35:00"	"Buy"	62456	3	669	0	"buystop s#58"
"o#64"	"2016-12-20 22:40:00"	"Sell"	62519	5	0	0	"h ema14"
"o#65"	"2016-12-21 10:10:00"	"Buy"	62148	5	1855	0	"undefined"
"o#68"	"2016-12-21 17:05:00"	"Sell"	62040	3	0	0	"h ema14"
"s#70"	"2016-12-21 18:35:00"	"Buy"	62080	3	-120	0.11	"buystop s#69"
"o#71"	"2016-12-21 19:00:00"	"Sell"	62200	3	0	0.11	"h ema14"
"s#72"	"2016-12-21 20:20:00"	"Buy"	62140	3	180	0	"buystop s#71"
"o#73"	"2016-12-21 20:35:00"	"Sell"	62145	3	0	0	"h ema14"
"s#74"	"2016-12-21 21:15:00"	"Buy"	62209	3	-192	0.17	"buystop s#73"
"o#75"	"2016-12-21 21:25:00"	"Sell"	62197	3	0	0.17	"h ema14"
"s#76"	"2016-12-21 23:30:00"	"Buy"	62233	3	-108	0.27	"buystop s#75"
"o#77"	"2016-12-22 10:00:00"	"Sell"	62040	3	0	0.27	"h ema14"
"s#78"	"2016-12-22 11:30:00"	"Buy"	61927	3	339	0	"buystop s#77"
"o#79"	"2016-12-22 14:35:00"	"Sell"	61950	5	0	0	"h ema14"
"s#80"	"2016-12-22 15:25:00"	"Buy"	61985	5	-175	0.16	"buystop s#79"
"o#81"	"2016-12-22 15:40:00"	"Buy"	62047	6	0	0.16	"h ema14"
"s#82"	"2016-12-22 16:20:00"	"Sell"	61975	6	-432	0.55	"sellstop s#81"
"o#83"	"2016-12-22 16:30:00"	"Sell"	61955	6	0	0.55	"h ema14"
